Bank,Customer Code,Value
DS,100001,53063
DSB,100005,56396
DSB,100009,51749
DSB,100001,67856
DS,100003,25482
DTB,100010,71396
DSB,100004,39003
DTB,100002,48616
DTB,100007,29308
DS,100006,77636
DS,100005,39668
DSB,100002,27936
DS,100010,77893
DSB,100003,58154
DTB,100000,77252
DS,100004,63315
DS,100009,56581
DSB,100010,92654
DS,100008,56400
DTB,100003,84574
DSB,100008,47121
DTB,100008,69352
DTB,100006,41909
DTB,100001,60675
DS,100002,69803
DTB,100009,52926
DSB,100007,29702
DTB,100005,37795
DSB,100006,32333
DS,100007,76190
DTB,100004,44435
DSB,100000,27585
DS,100000,57909
